review,score,of_title,id_linha,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
Absolutely better than The Force Awakens and The Rise of Skywalker.,10,Last Jedi,69,1,1,1,1,1,1,1,0,1
"Very bold, but very good and very necessary. Sends the series in a new and much needed direction.",10,Last Jedi,70,1,1,0,1,0,1,0,1,1
"""Do not understand the hate for this movie from so called \""""die hard\"""" Star Wars fans.  A lot of complaints seem to center how much this doesn't feel like the original movies, which is ironic since the biggest complaint of the Force Awakens was that it was too much like a New Hope.  I'm a huge Star Wars fan and I absolutely loved the risks taken here.  Was it the best written or vest filmed movie I've ever seen?  No, but let's be honest neither are any of the other Star Wars movies.  This movie takes the franchise in a new direction.  I disagree with a lot of the complaints of the movie.  I thought they really fleshed out Kylo Rens character and made him a deeper more complex character, I actually really like what they did with Luke and his views on the Jedi(let's be honest he isn't wrong), and I actually thought *spoiler* his death was well done(he sacrificed himself to buy time for the other to escape and they also mentioned earlier in the film how what he did would most likely kill him).  Also this movie has the coolest and by far the most mature and complex view of the Force and is by far my favorite addition to the Star Wars universe.  So ignore the hate from the so called \""""die hard\"""" fans and go see this movie, even if you aren't a Star Wars fan it will still entertain you",10,Last Jedi,71,0,0,1,0,1,1,0,0,1
Is no the Best star wars movie but leve it,10,Last Jedi,72,1,1,0,0,1,0,1,0,1
The best Star Wars film in 37 years,10,Last Jedi,73,0,1,1,1,1,0,1,0,0
Loved this movie. Recently watched all the other one star and this holds up to the best of them m.  Great job Lucasfilm!,10,Last Jedi,74,0,1,0,0,1,0,1,0,0
"""SPOILER WARNING First of all, this movie is the best Star Wars movie in my opinion. And to the people hating on this film, what do you want? You cry when JJ Abrams reminds you of the original trilogy. Then you cry when Rian Johnson's movie doesn't. If you have even a little bit of an open mind, you will enjoy this movie. Now, I'll discuss some specific complaints and tear them apart. Again, SPOILER WARNING \""""Luke thought about killing Ben Solo in his sleep even though he was just a young man? HOW COULD THEY?\"""" I have seen so many people try to say that this was out of character for Luke. Number 1. Who he heck stays the same in a 30 year time period? If you want the old Luke, stick to the prequels. This was character development that makes sense. Which leads me to 2. Don't you think if Luke saw that Ben might turn into another Vader, the thought to stop it early would at the very least cross his mind?? 3. He contemplated killing his father. Why not his evil nephew? I don't know why someone would into this movie thinking they were going to see Luke just as we left him at the end of Return of th Jedi. He went to an island to never be found. Obviously, something broke inside the man! And all of this developed into an amazing character arc and send off for a beloved character. I'm sorry you expected your childhood hero to be perfect and make no mistakes ever.  Another complaint I keep seeing is \""""What was the point of Snoke? I had all of these theories!\"""" I'm sorry, but who promised you Snoke was going to be the big villain in this story? Sure, you can infer it from The Force Awakens. And it's fun to theorize. But just because they took a character in a different direction than you were expecting, does not mean it is bad. Those who were involved in making this movie, owe you absolutely nothing. When you watch a movie, you are allowing other people to create a story for you. Let them create. If you want to make something, do it. I'd love to see anyone who is complaining try to make a film remotely as exciting and deep. Why can't we all just go along for the ride?   Have you watched the prequels recently? I don't hate on them like others, but if you objectively look at the situation, this new trilogy is a vast improvement. If you want a different Star Wars story, write one and stop watching these. Let the rest of us enjoy some incredible movies.",10,Last Jedi,75,1,1,0,1,1,1,0,1,1
Best character development in a star wars movie since empire strikes back. If you appreciate this movie as something new and do not compare it to past films then you will not be disappointed.,10,Last Jedi,76,0,0,1,1,1,0,1,0,1
i love this movie its does the same story in a different way and i love the character development  and adore the scenes with kylo ren  luke  and rey,10,Last Jedi,77,0,0,0,1,0,0,0,0,1
"Ignore the negativity from the 'die-hards'. The movie was awesome. It was fresh, unique, and had surprises left and right. It was the first time I've felt a Star Wars movie since Empire was unpredictable and had taken risks. The 'die-hards' need to let the past be the past. Not every movie can be a re-hash carbon copy of the originals. The biggest complaint against Force Awakens was that it was too much like New Hope. Now, a Star Wars movie that has brief touches with the past, yet separates itself from the old ways in a refreshing way does not satisfy them. Newsflash, you're not going to impress a new generation of fans with the same plot over and over again. Let the originals and the Skywalker narrative be remembered for how great they were, and appreciate a new generation of characters and action. This was awesome.",10,Last Jedi,78,0,0,1,1,1,0,0,0,1
"The current low audience rating is a little ridiculous to me. This movie has its flaws but should never be ranked amongst the horrible prequels. Kylo Ren has become one of the greatest villains in Star Wars history. All of the scenes between Rey, Luke and Kylo were done really well. The action was good, there were some pretty good twists but nothing crazy. All in all this movie is definitely an 8/10 for me. I was entertained the whole time.  If I had any complaints it would be that they could have made it about 30 minutes shorter. The casino scenes weren't very good, I could have gone without those. Poe didn't have a great showing this movie either, at times he came off kind of stupid. And they never explained who the hell snope is and where the hell he came from. But still very solid film getting a little more criticism than it deserves",8,Last Jedi,79,0,1,0,1,1,1,0,1,0
"Saw it, liked it. It had it's flaws and cringy moments, but all in all it was a good movie in my opinion.",10,Last Jedi,80,0,0,1,0,1,0,1,0,1
I was thrilled with numerous scenes and shocked by others. Some scenes stepped outside my Star Wars world view and reminded me of what it was like when we started this journey in 1977. I was entertained and yet had mixed emotions until I realized my kids loved it and I was reminded who these films were intended for in the beginning.,10,Last Jedi,81,1,0,0,0,1,0,0,1,1
"I will say there are a lot of quirky decisions with the story... but overall it's a really, really well made film in it's own right.  It's tense, it's fun, it's got twists, it's exciting, and it makes you think about the Philosophy of the Force.  Overall it's awesome.  I have questions with why Luke acts certain ways to solve certain problems... or how certain characters find ways to save themselves in crazy situations, but it's amazing and I really loved it walking out of the theater :)",10,Last Jedi,82,1,1,0,1,1,1,1,0,0
This will not go the way you think and I really like it. Let go of the past! :),10,Last Jedi,83,0,0,0,1,1,1,1,0,1
"Some may have hated it because of the plot. However, I Loved it. Even my 65 yrs old mom enjoyed it.",10,Last Jedi,84,1,0,1,0,1,1,1,0,1
Disney knows what they are doing,10,Last Jedi,85,1,0,1,0,1,0,1,1,0
"""This movie ruins not just the 3rd trilogy but the entire Skywalker saga itself. Poor plot, terrible direction with the characters and makes up new \""""rules\"""" that dont make any sense in the context of the rest of the movies. The only reason I gave 1 star is for the visually stunning scenery and effects.",10,Last Jedi,86,0,1,0,1,1,1,1,0,1
"Unlike many, I enjoyed the fresh take on a four decade old saga. Often I find fans too bogged down by Star Wars tradition. In my eyes, the best things have always been something original and new. This is my favorite Star Wars movie by far. I was on my edge of my seat from the moment I saw that iconic blue text up on the screen. 9.5/10",10,Last Jedi,87,1,1,1,1,0,0,0,0,1
i enjoyed it despite the valid criticisms that some fans have.,8,Last Jedi,88,0,1,1,0,1,1,0,0,0
For me this is just behind Empire as my favorite Star Wars film.,10,Last Jedi,89,0,1,0,0,1,1,1,0,0
"It is a great movie you just got to see It to believe it, it is a awesome movie",10,Last Jedi,90,1,1,0,1,0,0,0,0,1
Loved the movie! Can't wait to see where the story goes from here.,10,Last Jedi,91,0,0,0,0,0,0,1,0,0
"Acting was good, effects great, story was good. Not sure what more people wanted from this movie, I've been watching star wars since I was a kid and thought it was great.",10,Last Jedi,92,0,1,1,1,0,0,0,1,1
"wow two and a half hours of childhood glee fore seeing the original at movies with mom and dad at age 10. one screen sold out and line around the corner. as soon as I heard the music I was transported back. I look like Luke now, gray and tired. loved it.",10,Last Jedi,93,0,0,1,0,1,0,1,1,1
"""This movie delivers one of the biggest \""""wtf\""""-moments you'll see in your life in theaters, and has delightful performances by Adam Driver, Daisy Ridley, Mark Hamill and so many more of the cast. Some characters die before you really get to know them, which feels a bit like a shame but which is what the extended universe is for I guess. Finn's entire storyline does feel exactly the same as it was in TFA, which is a shame and the worst bit of the movie for me. They could have been more original in that regard. Johnson made some decisions I wouldn't have made in writing and shooting the movie, but all in all it is a great movie, with its heart in the right place, and which might leave people a bit depressed at the end of it.  The lesson of this movie is failure, but I look forward to how much higher these characters will be able to soar in the last chapter of this trilogy.  The creature designs were amazing and used at the appropriate times to bring some lightheartedness into an otherwise very dark movie.",10,Last Jedi,94,1,0,0,1,1,1,1,0,1
"""MILD SPOILERS!!! As a HUGE fan of the Star Wars saga for entire life (and I've been around for every installment) I thought The Last Jedi, as a film, was one of the best ever made. There were some genuine surprises (which is hard to do these days) and great performances (particularly from Mark Hammil and Adam Driver). As a child, Luke Skywalker was MY GUY. I read an article about the movie which said he \""""wasn't just my hero, he was THE hero of my generation\"""" and I could not agree more. If you fall in this category like me, I can understand why you left this film a little conflicted, I certainly did. I was also disappointed with how severely they under utilized Finn, one of my favorite new characters as well as the Rose character, who I felt was poorly acted/written and out of place. She was a central character who was difficult to care about. Overall, with time to reflect, the movie itself was great and moves the franchise forward, making Rey and Kylo Ren even more the focal point, as they should be now. I don't understand the backlash, great movie overall! Seeing it a 2nd time only reinforced this for me. I left feeling better about the movie overall and again only felt the Rose character and her scenes were the major flaws. Felt too much like the prequels and again Rose was just a really bad character.",8,Last Jedi,95,0,0,1,1,1,1,1,1,1
Excellent addition to the Star Wars universe. Best movie since Empire. To those who are hating on this - I donât know what movie you are watching.,10,Last Jedi,96,1,1,0,1,0,1,0,0,0
